iterationName	gameid	time	trialNum	role	tar1	tar2	tar3	col1	col2	col3	col4	col5	prop1	prop2	categoryLabel	genus	conceptNumber	categoryPluralLabel	labeled	colorName	featureValues	featureOrder	block_num	block_type	tested_on	time_in_ms	critter_num	isLabeled	selected	categorizedResponse	eventType
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178561796	1	b	0	1	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	1	0	kaz	bug	i	kazzes	false	blue	1_0_1	property_colors_size	0	testCritters	self	9584	0	0	0	correctRejection	logTest
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178561801	1	b	0	1	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0	0	kaz	bug	i	kazzes	false	purple	1_1_0	property_colors_size	0	testCritters	self	9584	1	0	0	correctRejection	logTest
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178561802	1	b	0	1	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	0	0	kaz	bug	i	kazzes	false	blue	1_0_0	property_colors_size	0	testCritters	self	9584	2	0	0	correctRejection	logTest
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178561802	1	b	0	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0	0	kaz	bug	i	kazzes	true	purple	0_1_0	property_colors_size	0	testCritters	self	9584	3	1	1	hit	logTest
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178561803	1	b	0	0	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	1	0	kaz	bug	i	kazzes	true	blue	0_0_1	property_colors_size	0	testCritters	self	9584	4	1	1	hit	logTest
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178561803	1	b	0	0	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	0	0	kaz	bug	i	kazzes	true	blue	0_0_0	property_colors_size	0	testCritters	self	9584	5	1	1	hit	logTest
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178561804	1	b	0	1	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	1	0	kaz	bug	i	kazzes	false	purple	1_1_1	property_colors_size	0	testCritters	self	9584	6	0	0	correctRejection	logTest
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178561804	1	b	0	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	1	0	kaz	bug	i	kazzes	true	purple	0_1_1	property_colors_size	0	testCritters	self	9584	7	1	1	hit	logTest
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178564301	1	a	0	0	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	0	0	kaz	bug	i	kazzes	true	blue	0_0_0	property_colors_size	0	testCritters	partner	11397	0	1	0	miss	logTest
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178564309	1	a	0	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	1	0	kaz	bug	i	kazzes	true	purple	0_1_1	property_colors_size	0	testCritters	partner	11397	1	1	0	miss	logTest
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178564313	1	a	0	1	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	1	0	kaz	bug	i	kazzes	false	purple	1_1_1	property_colors_size	0	testCritters	partner	11397	2	0	1	falseAlarm	logTest
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178564318	1	a	0	1	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	0	0	kaz	bug	i	kazzes	false	blue	1_0_0	property_colors_size	0	testCritters	partner	11397	3	0	1	falseAlarm	logTest
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178564318	1	a	0	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0	0	kaz	bug	i	kazzes	true	purple	0_1_0	property_colors_size	0	testCritters	partner	11397	4	1	0	miss	logTest
