iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	text	reactionTime	eventType
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1542042744165	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	They have specific colors. like green and pink	18495	chatMessage
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1542042753688	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	green and yellow	5787	chatMessage
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1542042770257	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	green and yellow, got it	6264	chatMessage
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1542042779440	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	blue and red	6415	chatMessage
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1542042790656	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	ok	1080	chatMessage
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1542042795850	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	ok	512	chatMessage
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1542042817105	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	is that all you can tell me?	4515	chatMessage
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1542042821562	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	yes	691	chatMessage
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1542042843292	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	so each color combo can be found?	9323	chatMessage
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1542042848553	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	yes	617	chatMessage
